,reference,AgglomerativeClustering,LogisticRegression,RandomForest,correlation_subtype,distances_subtype
TCGA-W3-A824-06,,keratin,immune,immune,Proliferative,Pigmentation
TCGA-W3-A825-06,,MITF-low,MITF-low,immune,Normal-like,Proliferative
TCGA-W3-A828-06,,MITF-low,MITF-low,MITF-low,,High-immune responce
TCGA-W3-AA1O-06,,keratin,immune,keratin,,Pigmentation
TCGA-W3-AA1Q-06,,keratin,immune,immune,,Pigmentation
TCGA-W3-AA1R-06,,immune,immune,immune,,Pigmentation
TCGA-W3-AA1V-06,,MITF-low,immune,immune,Normal-like,Proliferative
TCGA-W3-AA1W-06,,immune,immune,immune,Pigmentation,High-immune responce
TCGA-W3-AA21-06,,keratin,immune,keratin,Proliferative,Pigmentation
TCGA-WE-A8JZ-06,,immune,MITF-low,keratin,Proliferative,Pigmentation
TCGA-WE-A8K1-06,,immune,immune,immune,High-immune responce,Pigmentation
TCGA-WE-A8K4-01,,immune,immune,immune,,Pigmentation
TCGA-WE-A8K5-06,,keratin,immune,immune,,Pigmentation
TCGA-WE-A8K6-06,,MITF-low,MITF-low,MITF-low,,Proliferative
TCGA-WE-A8ZM-06,,MITF-low,MITF-low,MITF-low,Normal-like,Proliferative
TCGA-WE-A8ZN-06,,keratin,immune,immune,Normal-like,High-immune responce
TCGA-WE-A8ZO-06,,keratin,immune,immune,,Pigmentation
TCGA-WE-A8ZQ-06,,MITF-low,MITF-low,MITF-low,,Proliferative
TCGA-WE-A8ZR-06,,MITF-low,keratin,immune,Proliferative,Pigmentation
TCGA-WE-A8ZT-06,,MITF-low,MITF-low,MITF-low,,Pigmentation
TCGA-WE-A8ZX-06,,immune,immune,immune,High-immune responce,High-immune responce
TCGA-WE-A8ZY-06,,MITF-low,keratin,keratin,Proliferative,Pigmentation
TCGA-WE-AA9Y-06,,MITF-low,immune,immune,,High-immune responce
TCGA-WE-AAA0-06,,immune,immune,immune,,Pigmentation
TCGA-WE-AAA3-06,,MITF-low,immune,immune,,Pigmentation
TCGA-WE-AAA4-06,,immune,immune,immune,Pigmentation,High-immune responce
TCGA-XV-A9VZ-01,,MITF-low,keratin,keratin,,Normal-like
TCGA-XV-A9W2-01,,immune,keratin,keratin,,Normal-like
TCGA-XV-A9W5-01,,MITF-low,MITF-low,keratin,,Normal-like
TCGA-XV-AAZV-01,,immune,immune,keratin,Proliferative,Normal-like
TCGA-XV-AAZW-01,,MITF-low,keratin,keratin,,Normal-like
TCGA-XV-AAZY-01,,keratin,immune,immune,Normal-like,Normal-like
TCGA-XV-AB01-06,,keratin,immune,keratin,Pigmentation,High-immune responce
TCGA-YD-A89C-06,,MITF-low,keratin,keratin,Pigmentation,Proliferative
TCGA-YD-A9TA-06,,MITF-low,MITF-low,immune,,High-immune responce
TCGA-YD-A9TB-06,,MITF-low,immune,immune,,Pigmentation
TCGA-YG-AA3N-01,,keratin,keratin,keratin,Pigmentation,Normal-like
TCGA-YG-AA3O-06,,keratin,immune,immune,,Pigmentation
TCGA-YG-AA3P-06,,keratin,keratin,keratin,,Pigmentation
TCGA-Z2-A8RT-06,,immune,immune,immune,,Pigmentation
TCGA-Z2-AA3S-06,,keratin,keratin,immune,,Pigmentation
TCGA-Z2-AA3V-06,,keratin,immune,immune,Normal-like,High-immune responce
